year,year,Black-bellied Whistling-Duck,Greater White-fronted Goose,Snow Goose,Ross's Goose,Canada Goose,Mute Swan,Wood Duck,Gadwall,American Wigeon,Mallard,Mottled Duck,Blue-winged Teal,Cinnamon Teal,Northern Shoveler,Northern Pintail,Green-winged Teal,Canvasback,Redhead,Ring-necked Duck,Greater Scaup,Lesser Scaup,Bufflehead,Common Goldeneye,Hooded Merganser,Common Merganser,Red-breasted Merganser,Ruddy Duck,Scaled Quail,Gambel's Quail,Northern Bobwhite,Wild Turkey,Common Loon,Least Grebe,Pied-billed Grebe,Horned Grebe,Red-necked Grebe,Eared Grebe,Neotropic Cormorant,Double-crested Cormorant,Anhinga,American White Pelican,Brown Pelican,Great Blue Heron,Great Egret,Snowy Egret,Little Blue Heron,Tricolored Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,White Ibis,White-faced Ibis,Roseate Spoonbill,Black Vulture,Turkey Vulture,Osprey,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Bald Eagle,Red-shouldered Hawk,Harris's Hawk,Red-tailed Hawk,Ferruginous Hawk,Virginia Rail,Sora,Common Gallinule,American Coot,Sandhill Crane,Black-necked Stilt,American Avocet,Black-bellied Plover,Semipalmated Plover,Killdeer,Greater/Lesser Yellowlegs,Spotted Sandpiper,Solitary Sandpiper,Willet,Ruddy Turnstone,Sanderling,Western Sandpiper,Least Sandpiper,Dunlin,Short-billed/Long-billed Dowitcher,Wilson's Snipe,Laughing Gull,Bonaparte's Gull,Franklin's Gull,Ring-billed Gull,California Gull,Herring Gull,Lesser Black-backed Gull,Caspian Tern,Royal Tern,Forster's Tern,Black Skimmer,Rock Pigeon,Eurasian Collared-Dove,Inca Dove,Common Ground-Dove,White-winged Dove,Mourning Dove,Greater Roadrunner,Barn Owl,Eastern Screech-Owl,Great Horned Owl,Barred Owl,Long-eared Owl,Common Pauraque,White-throated Swift,Anna's Hummingbird,Broad-tailed Hummingbird,Rufous Hummingbird,Ringed Kingfisher,Belted Kingfisher,Green Kingfisher,Golden-fronted Woodpecker,Acorn Woodpecker,Red-bellied Woodpecker,Yellow-bellied Sapsucker,Ladder-backed Woodpecker,Downy Woodpecker,Northern Flicker,Pileated Woodpecker,Crested Caracara,American Kestrel,Merlin,Peregrine Falcon,Prairie Falcon,Monk Parakeet,Eastern Phoebe,Black Phoebe,Say's Phoebe,Vermilion Flycatcher,yellow-bellied kingbird sp.,Scissor-tailed Flycatcher,Loggerhead Shrike,White-eyed Vireo,Blue-headed Vireo,Blue Jay,Western Scrub-Jay,American Crow,Common Raven,Tree Swallow,Cliff/Cave Swallow,Carolina Chickadee,Tufted Titmouse,Black-crested Titmouse,Verdin,Red-breasted Nuthatch,White-breasted Nuthatch,Brown Creeper,Rock Wren,Canyon Wren,House Wren,Winter Wren,Sedge Wren,Marsh Wren,Carolina Wren,Bewick's Wren,Cactus Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Ruby-crowned Kinglet,Eastern Bluebird,Western Bluebird,Hermit Thrush,American Robin,Gray Catbird,Curve-billed Thrasher,Brown Thrasher,Long-billed Thrasher,Crissal Thrasher,Northern Mockingbird,European Starling,American Pipit,Sprague's Pipit,Cedar Waxwing,Phainopepla,Black-and-white Warbler,Orange-crowned Warbler,Common Yellowthroat,Yellow Warbler,Pine Warbler,Yellow-rumped Warbler,Grasshopper Sparrow,Le Conte's Sparrow,Seaside Sparrow,Chipping Sparrow,Black-chinned Sparrow,Brewer's Sparrow,Black-throated Sparrow,Field Sparrow,Lark Sparrow,Lark Bunting,Fox Sparrow,Dark-eyed Junco,White-crowned Sparrow,Harris's Sparrow,White-throated Sparrow,Vesper Sparrow,Savannah Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,Rufous-crowned Sparrow,Canyon Towhee,Green-tailed Towhee,Spotted Towhee,Eastern Towhee,Pyrrhuloxia,Northern Cardinal,Red-winged Blackbird,Western/Eastern Meadowlark,Yellow-headed Blackbird,Rusty Blackbird,Brewer's Blackbird,Common Grackle,Boat-tailed Grackle,Great-tailed Grackle,Brown-headed Cowbird,Hooded Oriole,House Finch,Pine Siskin,Lesser Goldfinch,American Goldfinch,House Sparrow,location
2012,2012,0,0,0,4,0,0,103,594,522,582,0,0,0,108,106,191,19,24,437,2,220,25,0,16,0,1,45,0,0,0,7,0,0,51,6,0,2,0,648,0,82,0,65,73,6,1,0,3,0,1,0,0,0,0,184,343,7,8,2,7,0,12,0,59,0,1,1,0,802,0,0,0,0,0,60,46,4,0,0,0,0,0,1,0,0,30,0,62,0,335,0,0,0,0,0,115,0,438,41,0,0,403,301,2,0,2,4,2,4,0,0,0,0,0,0,13,0,0,0,128,16,2,82,71,2,0,30,3,0,0,0,67,0,0,0,0,0,0,0,1,176,0,303,0,0,0,299,117,0,0,14,0,18,0,0,1,10,0,7,99,9,0,0,27,85,141,0,27,260,0,0,7,0,0,124,1143,11,0,201,0,0,5,1,0,4,301,5,0,0,8,0,0,0,60,0,0,28,216,156,89,97,27,140,70,12,0,0,0,0,53,1,0,329,6306,190,0,0,435,74,0,3571,880,0,209,29,0,396,94,Ft Worth
2013,2013,0,1,8,0,1,0,95,530,388,592,0,28,0,136,46,215,17,1,217,0,121,36,0,36,0,0,35,0,0,0,37,0,0,33,0,0,4,0,775,0,80,0,69,36,4,0,0,0,0,1,0,0,0,0,150,148,10,14,8,5,0,10,0,58,0,1,4,0,715,0,0,1,0,0,85,20,0,0,0,0,0,1,17,0,0,17,0,64,0,249,0,0,0,0,0,124,0,354,22,0,0,418,338,1,0,3,4,2,6,0,0,0,0,0,0,13,0,0,0,108,5,0,49,75,0,0,33,0,1,0,0,37,0,0,0,0,0,0,0,0,191,0,399,0,0,0,258,99,0,0,0,1,2,0,0,0,9,0,5,90,6,0,5,15,103,187,0,15,98,0,0,26,0,0,167,3372,45,0,857,0,0,15,4,0,4,63,0,0,0,156,0,0,0,142,2,0,45,332,118,265,144,18,69,100,23,5,0,0,0,60,6,0,391,11330,398,0,57,60,95,0,20719,355,0,160,3,0,470,221,Ft Worth
2014,2014,0,0,0,0,1,0,152,431,610,698,0,0,0,368,125,161,41,8,550,0,50,59,0,47,0,6,42,0,0,0,0,0,0,56,12,0,5,0,4000,0,40,0,80,41,9,1,0,0,0,2,0,0,0,0,240,209,7,0,5,7,0,14,0,46,0,2,7,0,1126,0,0,0,0,0,74,20,7,0,0,0,0,0,0,0,0,16,0,42,0,416,0,0,0,0,0,236,0,711,45,0,0,479,574,2,0,8,9,8,6,0,0,0,0,0,0,17,0,0,0,145,17,3,85,81,0,0,26,0,0,0,0,49,0,0,0,0,0,0,0,0,238,0,461,0,0,0,389,0,0,0,0,2,13,0,0,1,4,0,21,130,19,0,6,17,133,156,0,20,181,0,0,13,0,0,212,2085,30,0,570,0,0,12,14,0,0,211,0,0,0,5,0,0,0,111,2,0,30,308,161,374,157,97,61,94,10,10,0,0,0,61,4,0,496,2063,279,0,0,0,101,0,1194,240,0,96,0,0,296,333,Ft Worth
2015,2015,0,0,0,0,6,0,122,307,194,268,0,12,0,297,105,70,9,62,505,0,80,50,0,39,0,0,81,0,0,0,18,3,0,38,0,0,5,0,2945,0,238,0,69,59,3,0,0,0,0,0,0,0,0,0,443,176,12,2,5,8,1,5,0,54,0,1,6,0,886,2,0,0,0,0,102,6,0,0,0,0,0,0,26,0,0,35,0,37,0,614,0,0,0,0,0,50,0,513,36,0,0,221,278,1,0,3,7,2,7,0,0,0,0,0,0,15,0,0,0,90,19,0,39,71,0,0,23,1,0,0,0,77,0,0,0,0,0,0,0,1,124,0,364,0,0,0,264,65,0,0,0,1,9,0,0,0,2,0,6,74,16,0,2,23,173,169,0,10,60,0,0,13,0,0,109,6722,35,0,499,0,0,30,1,0,7,178,1,5,0,67,0,0,0,101,9,0,22,478,66,181,201,25,93,62,6,2,0,0,0,34,1,0,324,1399,296,0,3,62,125,0,4413,66,0,93,5,0,300,82,Ft Worth
2016,2016,1,1,1,0,12,0,139,356,278,312,0,25,0,193,112,230,23,0,353,0,21,60,0,30,0,0,47,0,0,11,30,0,0,66,6,0,0,0,2425,0,131,0,71,62,11,2,0,5,0,0,0,0,0,0,403,267,13,3,3,10,1,11,0,76,0,2,7,0,1162,8,0,0,0,0,116,11,9,0,0,0,0,0,152,0,0,35,0,87,0,1037,0,1,0,0,0,73,0,283,24,0,0,303,223,0,0,3,3,1,6,0,0,0,0,0,0,19,0,0,0,82,16,2,64,81,2,0,24,0,0,0,0,68,0,0,0,0,0,0,0,1,122,0,203,0,0,0,188,76,2,0,1,0,6,0,0,4,2,0,6,103,28,0,0,29,188,136,0,19,628,0,0,15,0,0,114,339,7,0,538,0,0,37,2,0,4,280,0,3,0,40,0,0,0,56,0,0,29,147,67,180,130,9,128,57,20,1,0,0,0,16,6,0,308,1181,187,0,28,46,12,0,1366,354,0,66,0,0,141,104,Ft Worth
2017,2017,0,1,0,0,32,0,53,1046,348,492,0,64,0,187,68,138,29,68,378,1,303,59,0,39,0,0,60,0,0,6,8,0,0,92,0,0,5,0,1535,0,254,0,74,285,15,8,0,1,0,0,0,0,12,0,342,188,11,17,4,12,0,12,0,84,1,2,11,0,1354,0,0,0,0,0,60,15,2,0,0,0,0,0,81,0,2,20,0,81,0,407,0,1,0,0,0,66,0,342,22,0,0,135,206,1,0,3,6,1,11,0,0,0,0,0,0,25,0,0,0,101,17,1,73,49,0,0,33,0,0,0,0,64,0,0,0,0,0,0,0,0,139,0,265,0,0,0,194,99,0,0,0,0,6,0,0,1,8,1,6,91,19,0,0,9,144,118,0,22,94,0,0,17,0,0,131,666,25,0,495,0,0,38,9,0,0,213,0,0,0,19,0,0,0,30,1,0,34,171,63,140,72,13,75,62,11,7,0,0,0,25,6,0,326,2239,196,0,0,168,261,0,580,381,0,41,16,0,252,56,Ft Worth
2018,2018,0,0,0,0,37,0,46,343,188,297,0,0,0,132,27,124,11,5,228,0,92,60,0,20,0,1,43,0,0,0,15,0,0,107,0,0,0,0,4066,0,114,0,95,85,18,1,0,0,0,0,0,0,0,0,253,286,11,6,9,3,0,8,0,50,0,3,1,0,735,0,0,0,0,0,25,30,5,0,0,0,0,0,87,0,0,25,0,57,0,482,0,0,0,0,0,19,0,443,12,8,0,223,178,0,0,4,3,3,4,0,0,0,0,0,0,22,0,0,0,79,16,1,51,69,3,4,10,1,0,0,0,60,0,0,0,0,0,0,0,5,122,0,237,0,0,0,204,114,0,0,1,0,11,0,0,6,3,0,8,69,16,0,1,11,89,132,0,17,595,0,0,16,0,0,96,1075,17,0,240,0,0,19,5,0,1,162,0,1,0,14,0,0,0,39,0,0,38,166,21,127,132,48,98,57,7,0,0,0,0,15,2,0,242,3084,180,0,0,34,359,0,2114,507,0,40,0,0,346,32,Ft Worth
2019,2019,0,0,4,0,8,0,42,464,347,226,0,123,0,301,34,82,1,13,204,0,126,46,0,16,0,0,102,0,0,0,23,0,0,121,0,0,1,0,2728,0,234,0,64,59,16,0,0,0,0,0,0,0,5,0,260,89,8,8,3,2,2,14,0,41,0,1,6,0,1665,0,0,0,0,0,77,9,4,0,0,0,0,0,113,0,0,18,0,55,5,305,0,0,0,0,0,48,0,517,47,0,0,220,176,0,0,3,8,3,4,0,0,0,0,0,0,20,0,0,0,125,15,1,57,47,2,0,18,0,0,0,0,82,0,0,0,0,0,0,0,1,176,0,331,0,0,0,324,153,0,0,0,0,4,0,0,5,3,0,8,106,21,0,2,7,142,82,0,17,130,1,0,19,0,0,106,502,29,0,163,0,0,26,6,0,0,208,0,1,0,18,0,0,0,30,1,0,6,100,47,83,72,17,85,46,15,0,0,0,0,10,8,0,337,1540,245,0,0,5,1817,0,1519,25,0,55,4,0,234,89,Ft Worth
2009,2009,22,0,0,0,0,0,10,287,65,2,0,17,0,681,191,357,39,1,73,0,94,152,0,20,0,0,510,0,0,4,16,0,3,26,0,0,60,20,3105,4,58,0,32,53,26,4,3,170,0,21,0,0,2,0,445,60,3,11,9,5,0,14,0,40,0,0,0,0,365,21,7,0,0,0,51,12,21,0,0,0,0,0,103,0,31,2,0,45,0,93,0,0,0,0,0,0,0,259,1,30,81,806,523,0,0,0,2,4,0,0,0,0,0,1,0,7,7,33,0,0,26,46,4,9,0,27,53,1,1,0,0,221,1,6,27,6,93,0,38,12,5,0,23,0,0,5,56,0,53,14,0,0,1,1,1,57,1,1,4,91,39,6,158,0,185,27,0,24,758,1,0,0,0,0,417,293,294,0,639,0,1,283,22,0,18,1468,17,1,0,154,0,0,0,19,23,81,1,4,820,24,18,988,833,21,536,5,0,0,1,16,0,28,342,3690,1210,0,8,151,11,0,1380,1529,0,53,0,26,168,192,San Antonio
2010,2010,505,99,3,0,1,0,10,205,201,5,0,22,1,350,247,96,44,9,162,2,197,18,0,224,0,0,24,0,0,23,0,0,24,51,0,0,150,12,850,7,464,0,45,57,12,2,0,42,1,19,0,0,0,0,329,92,6,10,7,8,1,30,0,66,0,0,0,0,496,0,5,0,0,0,138,18,38,1,0,0,0,0,129,0,70,26,0,105,0,49,0,0,0,0,0,28,0,437,23,74,31,961,451,2,0,0,9,8,0,0,0,0,0,0,0,13,5,50,0,0,22,93,3,5,0,57,63,2,1,0,0,183,2,7,18,1,2,64,29,7,1,0,15,0,0,319,97,0,122,11,1,0,1,0,4,79,7,0,0,109,31,0,73,35,317,40,0,45,6,1,4,1,3,0,514,278,120,2,1,0,2,250,16,0,10,745,9,2,0,180,0,0,0,36,69,93,1,3,965,6,12,481,452,33,524,8,0,0,0,14,2,126,763,8605,1271,0,0,31,8,0,5624,475,0,237,0,65,232,248,San Antonio
2011,2011,36,10,0,0,0,0,31,515,320,4,0,1,7,2138,50,350,5,27,62,0,18,10,0,153,0,0,172,0,0,17,0,0,33,48,0,0,72,74,492,7,103,0,21,41,8,3,2,86,2,27,0,0,0,0,227,37,5,20,3,4,0,28,0,62,1,0,0,0,257,7,22,0,0,0,206,33,20,1,0,0,0,7,41,0,18,52,0,62,0,55,0,0,0,0,0,8,0,682,39,151,29,2425,480,3,2,1,10,4,0,1,0,0,0,0,0,13,3,50,0,0,20,76,6,27,0,55,48,3,3,0,0,101,6,12,27,6,3,72,12,5,5,0,41,0,0,218,57,0,102,18,0,0,1,0,2,13,10,0,0,83,25,0,12,9,190,351,0,71,2849,0,2,0,5,0,370,982,171,0,602,0,1,125,21,0,4,482,0,0,0,610,0,0,0,178,36,601,6,31,1029,10,19,573,303,42,59,4,1,0,1,41,0,70,483,5681,1368,0,15,42,27,0,3157,776,0,151,0,45,773,446,San Antonio
2012,2012,33,0,0,0,0,0,11,329,119,6,0,9,1,1327,27,162,36,46,152,0,161,8,1,46,0,0,197,0,0,0,0,0,4,51,0,0,85,11,193,0,330,0,33,86,40,1,1,187,0,33,0,0,2,0,257,45,3,20,7,7,0,31,2,51,0,0,1,0,368,0,22,6,0,0,387,55,14,1,0,0,0,22,590,0,301,38,0,15,0,39,0,0,0,0,0,2,0,426,47,71,19,329,663,2,1,0,4,3,0,0,0,0,0,0,0,13,3,31,0,0,10,66,4,20,0,70,12,3,1,0,0,161,0,1,25,6,9,71,22,0,1,0,20,0,0,0,73,0,85,6,6,0,2,0,1,27,0,1,2,94,18,0,46,9,170,44,0,27,3,3,0,0,9,0,240,484,203,0,102,0,0,105,17,0,10,687,9,0,0,26,0,0,0,8,49,2,0,0,317,0,13,412,311,47,184,13,0,0,1,6,0,34,447,5675,601,0,0,521,0,0,9590,747,0,245,11,58,107,224,San Antonio
2013,2013,66,0,0,0,0,0,20,262,129,0,9,3,0,727,15,55,10,4,65,0,27,14,0,107,0,1,168,0,0,13,7,0,6,15,0,0,233,40,527,4,262,0,30,38,12,0,1,44,0,32,0,0,0,0,627,119,2,12,4,4,0,14,0,43,2,0,1,1,57,0,35,1,0,0,169,22,14,1,0,0,0,4,144,0,85,10,0,8,1,271,0,0,0,0,0,4,0,368,33,53,1,1122,864,4,1,2,11,3,1,2,0,0,0,0,0,7,4,64,0,1,6,82,4,7,0,72,25,2,0,0,0,155,0,2,2,1,6,61,22,5,4,0,34,7,0,200,76,0,200,51,1,0,0,0,0,33,1,0,0,93,88,2,48,2,221,36,0,15,16,0,3,0,4,0,382,877,170,0,108,0,0,116,24,0,25,303,23,2,0,84,0,0,0,13,6,0,3,1,343,0,40,326,357,17,179,6,0,0,0,10,0,33,632,4381,694,0,0,7,0,0,4514,1400,0,169,0,51,331,405,San Antonio
2014,2014,4,0,0,0,0,0,17,317,109,4,0,14,1,1621,238,192,5,6,120,1,50,12,1,14,0,0,205,0,0,35,30,0,16,27,0,0,200,44,523,0,129,0,21,62,10,0,0,87,0,7,0,0,0,0,440,74,5,2,9,6,0,37,0,34,1,0,0,0,224,0,0,2,0,0,214,20,8,3,0,0,0,0,45,0,0,10,0,26,0,0,0,0,0,0,0,0,0,728,103,41,26,2871,694,5,1,0,12,4,0,3,0,0,0,0,0,8,6,91,0,0,4,115,4,9,0,116,52,1,1,0,0,147,2,2,12,1,1,109,26,2,6,0,56,4,0,1,88,0,161,53,0,0,0,0,0,27,1,0,0,175,79,0,50,5,202,131,0,29,53,2,3,0,7,0,440,8775,208,0,405,0,0,135,18,0,1,1486,1,0,0,114,0,0,0,18,22,0,3,0,414,4,33,476,341,20,127,7,0,0,0,21,0,91,1022,3615,1244,0,0,24,1114,0,15640,455,0,315,0,33,610,616,San Antonio
2015,2015,162,95,6,0,0,0,14,248,165,34,0,17,0,626,21,62,28,74,253,1,496,19,1,48,0,0,774,0,0,0,8,0,30,29,0,0,106,72,607,0,292,0,27,54,35,0,0,81,0,24,0,0,0,0,447,79,7,0,4,7,0,22,0,24,0,0,0,0,129,0,9,0,0,0,199,36,12,2,0,0,0,0,32,0,7,47,0,35,0,65,0,0,0,0,0,1,0,377,131,64,7,1631,928,4,0,0,19,6,0,4,0,0,0,0,0,14,7,94,0,0,15,100,0,8,0,77,40,5,1,0,0,164,3,13,9,0,3,116,22,3,12,0,31,8,0,18,39,0,97,36,0,0,0,0,2,15,1,0,2,136,62,0,36,2,170,58,0,15,2144,0,3,1,5,0,434,4558,298,0,1519,0,0,82,16,0,10,1217,3,0,0,84,0,0,0,21,32,45,4,4,433,39,29,264,111,22,93,14,0,0,0,15,0,185,844,6416,614,0,0,131,319,0,7041,606,0,275,0,12,510,580,San Antonio
2016,2016,106,3,0,0,0,0,5,478,94,2,0,35,0,706,15,77,3,19,168,0,79,9,1,135,0,1,161,0,0,15,3,0,18,60,0,0,12,924,65,1,56,0,27,81,333,3,2,204,0,78,0,0,22,0,455,61,4,12,10,9,1,18,3,38,1,0,1,2,328,0,2,0,0,0,117,22,4,0,0,0,0,0,50,0,0,11,0,22,0,260,0,4,0,0,0,1,0,733,101,44,21,964,202,2,4,0,2,2,0,1,0,0,0,0,0,10,2,68,0,0,3,67,0,3,0,97,60,1,2,0,0,99,0,2,10,0,0,72,19,5,2,0,28,3,0,78,40,0,53,21,0,0,0,0,1,14,1,0,0,78,22,0,46,2,143,33,0,14,249,1,2,0,0,0,147,894,56,0,167,0,0,104,7,0,12,518,2,0,0,54,0,0,0,9,41,0,0,0,197,10,19,159,86,25,113,16,0,0,0,1,0,45,510,1710,718,0,0,0,154,0,1127,552,0,121,0,33,112,373,San Antonio
2017,2017,92,0,0,0,0,0,1,281,46,34,0,19,3,425,44,197,7,0,76,0,70,20,0,125,0,0,202,0,0,0,3,0,2,26,0,0,55,76,110,3,348,0,22,213,9,0,0,81,0,16,0,0,0,0,331,21,5,22,4,12,0,45,13,60,0,0,0,2,137,0,89,65,0,0,328,34,16,0,0,0,0,60,299,3,29,18,0,31,0,166,0,0,0,0,0,0,0,1044,111,26,3,1429,1211,7,1,0,9,2,0,1,0,0,0,0,0,5,8,159,0,0,4,118,0,3,0,94,68,4,1,0,0,189,0,5,17,1,5,111,31,5,20,0,43,3,0,355,92,0,155,31,0,0,0,2,0,51,0,0,0,175,45,0,61,7,253,58,0,43,704,1,4,0,1,0,290,1984,231,0,703,0,1,102,18,0,4,448,1,0,0,64,0,0,0,10,6,25,0,1,128,7,32,157,134,51,133,8,0,0,0,7,0,42,859,3882,970,0,0,167,1036,0,6835,636,0,296,0,82,308,584,San Antonio
2018,2018,129,107,0,0,0,0,2,230,21,17,0,11,0,256,20,215,38,4,102,0,9,34,1,24,0,0,230,0,0,5,1,0,7,25,0,0,22,97,225,2,42,0,37,41,12,1,0,36,0,3,0,0,0,0,710,45,3,2,4,8,0,37,0,51,0,0,3,0,187,12,10,0,0,0,101,13,9,0,0,0,0,0,28,0,0,40,0,2,1,981,0,0,0,0,0,0,0,611,66,19,9,821,526,5,0,1,14,1,0,2,0,0,0,0,0,6,0,45,0,0,8,83,0,2,0,87,34,0,0,0,0,203,0,0,12,12,10,88,63,10,16,0,39,6,0,0,50,0,87,25,0,0,0,0,0,95,1,0,3,119,42,0,67,4,194,24,0,31,222,1,2,0,4,0,298,596,210,0,748,0,3,82,23,0,11,659,30,0,0,94,0,0,0,9,23,0,3,45,158,21,114,225,292,87,257,16,0,0,0,4,0,21,465,4026,539,0,0,196,35,0,6092,832,0,180,11,52,561,362,San Antonio
2019,2019,141,1,21,0,0,0,4,190,46,22,0,11,9,1632,50,209,5,6,83,0,8,5,0,12,0,0,83,0,0,0,5,0,11,16,0,0,3,27,75,4,143,0,25,41,5,0,0,24,0,6,0,0,6,0,507,60,3,3,3,4,0,24,0,31,0,2,3,0,101,3,35,19,0,0,99,22,10,0,0,0,0,9,379,0,175,16,0,0,0,97,0,0,2,0,0,0,0,1145,6,12,4,222,321,4,0,1,8,2,0,2,0,0,0,0,0,3,4,50,0,1,2,60,2,4,0,60,33,1,1,0,0,122,0,3,8,4,0,67,26,5,27,0,33,3,0,0,82,0,128,31,1,0,0,1,0,20,2,0,0,122,34,0,32,1,171,6,0,18,2,1,0,0,13,0,24,1520,221,0,2,0,0,80,6,0,10,660,0,0,0,66,0,0,0,9,8,2,0,1,190,4,23,110,86,12,69,9,0,0,0,2,0,59,774,1662,675,0,6,57,580,0,10835,359,0,278,0,44,51,355,San Antonio
2009,2009,1,0,0,0,0,1,20,893,295,42,0,54,5,1486,49,938,6,23,109,1,452,241,2,14,0,0,503,0,0,0,0,0,6,92,0,0,21,7,629,4,28,0,79,86,39,12,1,0,2,13,1,0,3,0,584,318,20,21,10,33,0,54,0,73,0,0,6,0,1979,0,0,0,0,0,325,22,49,0,0,0,0,0,246,0,0,15,0,0,0,121,0,0,0,0,0,2,0,2439,51,62,0,1677,1000,2,1,8,4,3,0,0,0,0,0,0,0,35,3,2,0,139,35,12,64,31,0,51,65,2,0,0,246,302,0,0,1,6,29,61,4,37,202,0,332,0,0,5,330,165,0,0,0,0,1,0,6,82,0,1,10,312,21,0,63,5,592,140,0,38,3553,0,0,1,0,0,343,3048,353,0,2456,0,1,179,18,0,3,1990,14,7,0,323,0,0,0,227,4,1,2,9,340,173,73,392,831,138,351,28,0,0,0,26,1,0,901,3157,1065,0,0,120,3027,0,7731,1916,0,319,0,43,259,384,Austin
2010,2010,38,0,0,0,0,3,39,630,625,50,0,19,1,1767,27,256,13,43,163,0,389,276,12,25,0,0,470,0,0,8,0,0,3,89,0,0,4,2,599,3,99,0,47,58,74,9,0,1,2,10,0,0,0,0,314,259,13,19,9,18,1,57,0,110,0,2,8,3,1182,0,0,0,0,0,206,36,22,1,0,0,0,0,75,0,0,30,0,0,0,109,0,0,0,0,0,2,0,3115,18,75,1,945,746,1,0,3,6,8,0,0,0,0,0,0,1,22,3,1,0,139,31,16,69,18,2,48,64,1,0,0,189,247,0,0,1,1,0,37,10,30,268,1,300,0,0,41,404,185,0,0,0,0,5,0,7,70,27,1,4,269,16,0,19,117,517,78,0,69,90,0,0,2,0,0,471,1276,345,1,32,0,2,167,22,0,13,1110,40,2,0,284,0,0,0,145,0,0,1,16,414,12,70,234,440,158,236,27,0,0,0,23,0,2,942,8488,534,0,0,82,1180,0,9128,534,0,181,0,62,268,362,Austin
2011,2011,138,0,4,0,4,6,30,1026,615,68,0,25,4,1426,241,715,64,49,339,0,628,213,0,16,0,3,226,0,0,0,0,0,10,192,0,0,22,11,1407,5,61,0,67,83,78,12,0,1,2,4,1,1,0,0,487,258,16,17,13,18,4,37,0,113,0,1,4,8,3545,68,0,0,0,0,237,17,24,0,0,0,0,0,149,0,0,28,0,19,0,159,0,0,0,0,0,3,0,2550,30,34,7,1602,891,3,2,5,5,7,0,0,0,0,0,1,1,13,0,1,0,117,23,18,70,72,0,50,43,3,2,0,298,149,0,0,0,0,3,63,0,10,287,0,343,0,0,120,314,155,0,0,0,0,23,0,4,8,9,1,10,228,15,0,7,49,307,133,0,58,641,0,0,0,1,0,474,3803,270,1,519,0,2,145,25,0,2,895,1,1,0,113,0,0,0,74,2,2,19,43,522,146,65,201,148,71,42,14,0,0,0,63,0,0,740,1291,619,1,7,82,3699,0,18444,267,0,222,0,39,654,850,Austin
2012,2012,66,0,0,0,0,9,50,1487,868,56,0,14,0,2311,140,852,38,31,219,0,1210,437,2,23,0,0,178,0,0,0,0,1,6,133,0,0,4,2,1139,5,193,0,73,102,102,9,0,2,6,14,5,3,0,0,505,231,20,41,8,19,3,48,2,127,0,0,12,1,3685,0,0,0,0,0,369,23,47,0,0,0,0,1,261,0,0,49,0,10,0,88,0,0,0,0,0,1,0,6596,111,45,3,2776,1581,0,1,7,11,5,0,0,0,0,0,0,2,39,0,1,0,186,25,22,80,44,3,52,49,3,1,0,216,198,0,0,2,5,12,73,2,9,352,0,187,0,0,0,283,140,0,0,10,1,11,0,4,47,2,0,4,363,18,0,22,57,488,78,0,47,275,0,0,1,0,0,505,2502,219,3,141,0,2,177,19,0,22,1269,5,5,0,128,0,0,0,128,54,0,0,1,214,7,37,130,484,73,198,15,1,0,0,22,0,0,1011,16638,300,0,2,2947,1224,0,15284,5159,0,535,5,102,324,834,Austin
2013,2013,25,0,0,0,1,5,76,962,507,42,0,12,7,1926,89,329,84,55,204,0,621,240,0,26,0,0,180,0,0,0,0,0,4,167,0,0,10,3,1839,1,220,0,105,145,110,8,0,15,0,16,0,0,0,0,570,197,37,22,14,10,2,64,0,143,0,0,5,0,1491,1,0,0,0,0,286,51,38,2,0,0,0,1,257,0,0,51,0,9,0,519,0,0,0,0,0,8,0,1949,69,70,2,1633,1075,1,0,4,10,5,0,0,0,0,1,3,3,34,0,8,0,149,11,15,60,22,0,58,37,3,4,0,238,138,0,0,2,2,0,63,3,14,389,1,434,0,0,78,271,114,18,0,0,0,4,0,6,30,1,0,5,339,8,0,20,23,431,166,0,24,65,0,0,0,0,0,377,5830,216,1,561,0,0,95,16,0,48,457,8,2,0,139,0,0,0,40,4,0,8,31,255,33,127,142,200,68,99,11,0,0,0,21,2,1,997,3236,621,0,4,519,5261,0,14460,1092,0,310,0,141,605,783,Austin
2014,2014,26,0,0,0,0,6,53,984,512,55,0,6,1,1002,92,345,98,50,314,1,628,310,0,8,0,0,112,0,0,4,0,0,2,154,0,0,19,2,2047,4,204,0,65,108,92,6,0,0,0,5,0,0,0,0,689,148,24,7,6,25,1,83,0,107,0,0,4,6,1650,0,0,0,0,0,143,10,28,0,0,0,0,0,122,0,0,24,0,0,0,70,0,0,0,0,0,0,0,3579,92,45,0,3316,1375,2,0,5,8,12,0,0,0,0,0,1,6,32,1,5,0,239,17,28,83,52,7,43,55,5,4,0,363,185,0,0,1,1,0,63,5,12,333,0,297,2,0,0,369,307,0,0,1,0,4,0,14,63,7,0,6,417,65,0,21,50,590,134,0,28,108,3,0,1,0,0,588,3204,239,1,491,0,2,155,17,0,10,1491,7,1,0,161,0,0,0,114,12,0,8,18,277,121,149,143,218,85,155,10,1,0,0,29,0,4,1116,9367,451,0,22,1944,594,0,12966,2342,0,292,0,134,291,845,Austin
